% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.14871413E+03  0.15145234E+03  0.50000000E+00 -0.27382037E+01 -0.54764073E+01  0.60000000E+08     1
    32    15    22       12        2     0.14506537E+03  0.14773580E+03  0.50000000E+00 -0.26704267E+01 -0.53408534E+01  0.60000000E+08     1
    32    15    23       12        2     0.14143380E+03  0.14403725E+03  0.50000000E+00 -0.26034561E+01 -0.52069122E+01  0.60000000E+08     1
    32    15    24       12        2     0.13781895E+03  0.14035619E+03  0.50000000E+00 -0.25372391E+01 -0.50744781E+01  0.60000000E+08     1
    32    15    25       12        2     0.13422036E+03  0.13669201E+03  0.50000000E+00 -0.24716525E+01 -0.49433049E+01  0.60000000E+08     1
    32    15    26       12        2     0.13063757E+03  0.13304408E+03  0.50000000E+00 -0.24065168E+01 -0.48130337E+01  0.60000000E+08     1
    32    15    27       12        2     0.12707007E+03  0.12941170E+03  0.50000000E+00 -0.23416305E+01 -0.46832610E+01  0.60000000E+08     1
    32    15    28       12        2     0.12351734E+03  0.12579415E+03  0.50000000E+00 -0.22768057E+01 -0.45536114E+01  0.60000000E+08     1
    32    15    29       12        2     0.11997888E+03  0.12219071E+03  0.50000000E+00 -0.22118288E+01 -0.44236575E+01  0.60000000E+08     1
    32    15    30       12        2     0.11645414E+03  0.11860055E+03  0.50000000E+00 -0.21464148E+01 -0.42928297E+01  0.60000000E+08     1
    32    15    31       12        2     0.11294246E+03  0.11502268E+03  0.50000000E+00 -0.20802196E+01 -0.41604391E+01  0.60000000E+08     1
    32    15    32       12        2     0.10944298E+03  0.11145585E+03  0.50000000E+00 -0.20128686E+01 -0.40257372E+01  0.60000000E+08     1
    32    15    33       12        2     0.10595455E+03  0.10789855E+03  0.50000000E+00 -0.19440057E+01 -0.38880114E+01  0.60000000E+08     1
    32    15    34       12        2     0.10247571E+03  0.10434913E+03  0.50000000E+00 -0.18734233E+01 -0.37468465E+01  0.60000000E+08     1
    32    15    35       12        2     0.99004857E+02  0.10080633E+03  0.50000000E+00 -0.18014688E+01 -0.36029376E+01  0.60000000E+08     1
    32    15    36       12        2     0.95540763E+02  0.97269028E+02  0.50000000E+00 -0.17282649E+01 -0.34565298E+01  0.60000000E+08     1
    32    15    37       12        2     0.92082634E+02  0.93735758E+02  0.50000000E+00 -0.16531241E+01 -0.33062481E+01  0.60000000E+08     1
    32    15    38       12        2     0.88629676E+02  0.90204327E+02  0.50000000E+00 -0.15746506E+01 -0.31493013E+01  0.60000000E+08     1
    32    15    39       12        2     0.85180946E+02  0.86671385E+02  0.50000000E+00 -0.14904390E+01 -0.29808780E+01  0.60000000E+08     1
    32    15    40       12        2     0.81735142E+02  0.83131509E+02  0.50000000E+00 -0.13963671E+01 -0.27927342E+01  0.60000000E+08     1
    32    15    41       12        2     0.78290336E+02  0.79575263E+02  0.50000000E+00 -0.12849276E+01 -0.25698551E+01  0.60000000E+08     1
    32    15    42       12        2     0.74843786E+02  0.75984904E+02  0.50000000E+00 -0.11411177E+01 -0.22822354E+01  0.60000000E+08     1
    32    15    43       12        2     0.71391668E+02  0.72324252E+02  0.50000000E+00 -0.93258348E+00 -0.18651670E+01  0.60000000E+08     1
    32    15    44       12        2     0.67928028E+02  0.68531442E+02  0.50000000E+00 -0.60341373E+00 -0.12068275E+01  0.60000000E+08     1
    32    15    45       12        2     0.64450681E+02  0.64669560E+02  0.50000000E+00 -0.21887908E+00 -0.43775817E+00  0.60000000E+08     1
    32    15    46       12        2     0.60966432E+02  0.60810325E+02  0.50000000E+00  0.15610700E+00  0.31221400E+00  0.60000000E+08     1
    32    15    47       12        2     0.57468817E+02  0.56994213E+02  0.50000000E+00  0.47460346E+00  0.94920691E+00  0.60000000E+08     1
    32    15    48       12        2     0.54004716E+02  0.53259247E+02  0.50000000E+00  0.74546905E+00  0.14909381E+01  0.60000000E+08     1
    32    15    49        9        2     0.51224486E+02  0.49667649E+02  0.50000000E+00  0.15568362E+01  0.31136723E+01  0.60000000E+08     1
    32    15    50        8        2     0.48375609E+02  0.46839711E+02  0.50000000E+00  0.15358980E+01  0.30717960E+01  0.60000000E+08     1
    32    15    51        8        2     0.44888199E+02  0.43918630E+02  0.50000000E+00  0.96956981E+00  0.19391396E+01  0.60000000E+08     1
    32    15    52        7        2     0.40673795E+02  0.40376437E+02  0.50000000E+00  0.29735743E+00  0.59471486E+00  0.60000000E+08     1
    32    15    53        7        2     0.35753207E+02  0.36129785E+02  0.50000000E+00 -0.37657716E+00 -0.75315433E+00  0.60000000E+08     1
    32    15    54        7        2     0.30812661E+02  0.31150589E+02  0.50000000E+00 -0.33792838E+00 -0.67585676E+00  0.60000000E+08     1
    32    15    55        7        2     0.25897822E+02  0.26234622E+02  0.50000000E+00 -0.33680036E+00 -0.67360073E+00  0.60000000E+08     1
    32    15    56        7        2     0.21058608E+02  0.21462407E+02  0.50000000E+00 -0.40379907E+00 -0.80759815E+00  0.60000000E+08     1
    32    15    57        7        2     0.16381152E+02  0.17040457E+02  0.50000000E+00 -0.65930490E+00 -0.13186098E+01  0.60000000E+08     1
    79    23    31       12        2     0.11238951E+03  0.11190129E+03  0.50000000E+00  0.48821994E+00  0.97643988E+00  0.60000000E+08     1
    79    23    32       12        2     0.10893325E+03  0.10831165E+03  0.50000000E+00  0.62160315E+00  0.12432063E+01  0.60000000E+08     1
    79    23    33       12        2     0.10549974E+03  0.10473877E+03  0.50000000E+00  0.76097163E+00  0.15219433E+01  0.60000000E+08     1
    79    23    34       12        2     0.10208873E+03  0.10118208E+03  0.50000000E+00  0.90664735E+00  0.18132947E+01  0.60000000E+08     1
    79    23    35       12        2     0.98699900E+02  0.97640698E+02  0.50000000E+00  0.10592021E+01  0.21184043E+01  0.60000000E+08     1
    79    23    36       12        2     0.95332999E+02  0.94113242E+02  0.50000000E+00  0.12197579E+01  0.24395158E+01  0.60000000E+08     1
    79    23    37       12        2     0.91988028E+02  0.90597498E+02  0.50000000E+00  0.13905294E+01  0.27810589E+01  0.60000000E+08     1
    79    23    38       12        2     0.88665475E+02  0.87089785E+02  0.50000000E+00  0.15756907E+01  0.31513814E+01  0.60000000E+08     1
    79    23    39       12        2     0.85367360E+02  0.83583770E+02  0.50000000E+00  0.17835902E+01  0.35671803E+01  0.60000000E+08     1
    79    23    40       12        2     0.82099262E+02  0.80068237E+02  0.50000000E+00  0.20310245E+01  0.40620491E+01  0.60000000E+08     1
    79    23    41        7        2     0.77920018E+02  0.76522745E+02  0.50000000E+00  0.13972731E+01  0.27945463E+01  0.60000000E+08     1
    79    23    42        7        2     0.72827856E+02  0.72909137E+02  0.50000000E+00 -0.81280771E-01 -0.16256154E+00  0.60000000E+08     1
    79    23    43        7        2     0.67764879E+02  0.68506751E+02  0.50000000E+00 -0.74187157E+00 -0.14837431E+01  0.60000000E+08     1
    79    23    44        7        2     0.62735136E+02  0.64742587E+02  0.50000000E+00 -0.20074514E+01 -0.40149028E+01  0.60000000E+08     1
    79    23    45        9        2     0.59188567E+02  0.61703930E+02  0.50000000E+00 -0.25153637E+01 -0.50307274E+01  0.60000000E+08     1
    79    23    46        8        2     0.56481245E+02  0.57964762E+02  0.50000000E+00 -0.14835172E+01 -0.29670343E+01  0.60000000E+08     1
    79    23    47        7        2     0.52483165E+02  0.53428196E+02  0.50000000E+00 -0.94503075E+00 -0.18900615E+01  0.60000000E+08     1
    79    23    48        7        2     0.47787551E+02  0.48175945E+02  0.50000000E+00 -0.38839393E+00 -0.77678785E+00  0.60000000E+08     1
