% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.14120591E+03  0.15145234E+03  0.50000000E+00 -0.10246427E+02 -0.20492855E+02  0.60000000E+08     1
    32    15    22       12        2     0.13760177E+03  0.14773580E+03  0.50000000E+00 -0.10134032E+02 -0.20268063E+02  0.60000000E+08     1
    32    15    23       12        2     0.13401497E+03  0.14403725E+03  0.50000000E+00 -0.10022280E+02 -0.20044560E+02  0.60000000E+08     1
    32    15    24       12        2     0.13044510E+03  0.14035619E+03  0.50000000E+00 -0.99110886E+01 -0.19822177E+02  0.60000000E+08     1
    32    15    25       12        2     0.12689169E+03  0.13669201E+03  0.50000000E+00 -0.98003245E+01 -0.19600649E+02  0.60000000E+08     1
    32    15    26       12        2     0.12335427E+03  0.13304408E+03  0.50000000E+00 -0.96898127E+01 -0.19379625E+02  0.60000000E+08     1
    32    15    27       12        2     0.11983234E+03  0.12941170E+03  0.50000000E+00 -0.95793533E+01 -0.19158707E+02  0.60000000E+08     1
    32    15    28       12        2     0.11632541E+03  0.12579415E+03  0.50000000E+00 -0.94687367E+01 -0.18937473E+02  0.60000000E+08     1
    32    15    29       12        2     0.11283303E+03  0.12219071E+03  0.50000000E+00 -0.93576758E+01 -0.18715352E+02  0.60000000E+08     1
    32    15    30       12        2     0.10935484E+03  0.11860055E+03  0.50000000E+00 -0.92457171E+01 -0.18491434E+02  0.60000000E+08     1
    32    15    31       12        2     0.10589046E+03  0.11502268E+03  0.50000000E+00 -0.91322180E+01 -0.18264436E+02  0.60000000E+08     1
    32    15    32       12        2     0.10243951E+03  0.11145585E+03  0.50000000E+00 -0.90163359E+01 -0.18032672E+02  0.60000000E+08     1
    32    15    33       12        2     0.99001510E+02  0.10789855E+03  0.50000000E+00 -0.88970425E+01 -0.17794085E+02  0.60000000E+08     1
    32    15    34       12        2     0.95575892E+02  0.10434913E+03  0.50000000E+00 -0.87732419E+01 -0.17546484E+02  0.60000000E+08     1
