% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.14512713E+03  0.15145234E+03  0.50000000E+00 -0.63252123E+01 -0.12650425E+02  0.60000000E+08     1
    32    15    22       12        2     0.14147281E+03  0.14773580E+03  0.50000000E+00 -0.62629856E+01 -0.12525971E+02  0.60000000E+08     1
    32    15    23       12        2     0.13783354E+03  0.14403725E+03  0.50000000E+00 -0.62037130E+01 -0.12407426E+02  0.60000000E+08     1
    32    15    24       12        2     0.13420881E+03  0.14035619E+03  0.50000000E+00 -0.61473749E+01 -0.12294750E+02  0.60000000E+08     1
    32    15    25       12        2     0.13059816E+03  0.13669201E+03  0.50000000E+00 -0.60938561E+01 -0.12187712E+02  0.60000000E+08     1
    32    15    26       12        2     0.12700118E+03  0.13304408E+03  0.50000000E+00 -0.60429074E+01 -0.12085815E+02  0.60000000E+08     1
    32    15    27       12        2     0.12341756E+03  0.12941170E+03  0.50000000E+00 -0.59941328E+01 -0.11988266E+02  0.60000000E+08     1
    32    15    28       12        2     0.11984715E+03  0.12579415E+03  0.50000000E+00 -0.59469943E+01 -0.11893989E+02  0.60000000E+08     1
    32    15    29       12        2     0.11628995E+03  0.12219071E+03  0.50000000E+00 -0.59007593E+01 -0.11801519E+02  0.60000000E+08     1
    32    15    30       12        2     0.11274610E+03  0.11860055E+03  0.50000000E+00 -0.58544563E+01 -0.11708913E+02  0.60000000E+08     1
    32    15    31       12        2     0.10921577E+03  0.11502268E+03  0.50000000E+00 -0.58069128E+01 -0.11613826E+02  0.60000000E+08     1
    32    15    32       12        2     0.10569903E+03  0.11145585E+03  0.50000000E+00 -0.57568216E+01 -0.11513643E+02  0.60000000E+08     1
    32    15    33       12        2     0.10219573E+03  0.10789855E+03  0.50000000E+00 -0.57028244E+01 -0.11405649E+02  0.60000000E+08     1
    32    15    34       12        2     0.98705460E+02  0.10434913E+03  0.50000000E+00 -0.56436736E+01 -0.11287347E+02  0.60000000E+08     1
    32    15    35       12        2     0.95227663E+02  0.10080633E+03  0.50000000E+00 -0.55786631E+01 -0.11157326E+02  0.60000000E+08     1
    32    15    36       12        2     0.91762151E+02  0.97269028E+02  0.50000000E+00 -0.55068776E+01 -0.11013755E+02  0.60000000E+08     1
    32    15    37       12        2     0.88309318E+02  0.93735758E+02  0.50000000E+00 -0.54264395E+01 -0.10852879E+02  0.60000000E+08     1
    32    15    38       12        2     0.84869669E+02  0.90204327E+02  0.50000000E+00 -0.53346575E+01 -0.10669315E+02  0.60000000E+08     1
    32    15    39       12        2     0.81443752E+02  0.86671385E+02  0.50000000E+00 -0.52276339E+01 -0.10455268E+02  0.60000000E+08     1
    32    15    40       12        2     0.78032205E+02  0.83131509E+02  0.50000000E+00 -0.50993037E+01 -0.10198607E+02  0.60000000E+08     1
    32    15    41       12        2     0.74635826E+02  0.79575263E+02  0.50000000E+00 -0.49394370E+01 -0.98788740E+01  0.60000000E+08     1
    32    15    42       12        2     0.71255696E+02  0.75984904E+02  0.50000000E+00 -0.47292078E+01 -0.94584156E+01  0.60000000E+08     1
    32    15    43       12        2     0.67893539E+02  0.72324252E+02  0.50000000E+00 -0.44307132E+01 -0.88614264E+01  0.60000000E+08     1
    32    15    44       12        2     0.64552676E+02  0.68531442E+02  0.50000000E+00 -0.39787660E+01 -0.79575320E+01  0.60000000E+08     1
    32    15    45       12        2     0.61246207E+02  0.64669560E+02  0.50000000E+00 -0.34233530E+01 -0.68467061E+01  0.60000000E+08     1
    32    15    46        9        2     0.58461935E+02  0.60810325E+02  0.50000000E+00 -0.23483897E+01 -0.46967793E+01  0.60000000E+08     1
    32    15    47        9        2     0.56181672E+02  0.56994213E+02  0.50000000E+00 -0.81254097E+00 -0.16250819E+01  0.60000000E+08     1
    32    15    48        9        2     0.53907402E+02  0.53259247E+02  0.50000000E+00  0.64815457E+00  0.12963091E+01  0.60000000E+08     1
    32    15    49        9        2     0.51616170E+02  0.49667649E+02  0.50000000E+00  0.19485207E+01  0.38970415E+01  0.60000000E+08     1
    32    15    50        8        2     0.48707347E+02  0.46839711E+02  0.50000000E+00  0.18676357E+01  0.37352713E+01  0.60000000E+08     1
    32    15    51        8        2     0.45153178E+02  0.43918630E+02  0.50000000E+00  0.12345484E+01  0.24690968E+01  0.60000000E+08     1
    32    15    52        7        2     0.40869444E+02  0.40376437E+02  0.50000000E+00  0.49300647E+00  0.98601295E+00  0.60000000E+08     1
    32    15    53        7        2     0.35880388E+02  0.36129785E+02  0.50000000E+00 -0.24939634E+00 -0.49879268E+00  0.60000000E+08     1
    32    15    54        7        2     0.30890892E+02  0.31150589E+02  0.50000000E+00 -0.25969670E+00 -0.51939341E+00  0.60000000E+08     1
    32    15    55        7        2     0.25941952E+02  0.26234622E+02  0.50000000E+00 -0.29267034E+00 -0.58534068E+00  0.60000000E+08     1
    32    15    56        7        2     0.21078178E+02  0.21462407E+02  0.50000000E+00 -0.38422912E+00 -0.76845825E+00  0.60000000E+08     1
    32    15    57        7        2     0.16387059E+02  0.17040457E+02  0.50000000E+00 -0.65339832E+00 -0.13067966E+01  0.60000000E+08     1
    79    23    31       12        2     0.11220789E+03  0.11190129E+03  0.50000000E+00  0.30660150E+00  0.61320299E+00  0.60000000E+08     1
    79    23    32       12        2     0.10883675E+03  0.10831165E+03  0.50000000E+00  0.52510447E+00  0.10502089E+01  0.60000000E+08     1
    79    23    33       12        2     0.10549781E+03  0.10473877E+03  0.50000000E+00  0.75904041E+00  0.15180808E+01  0.60000000E+08     1
    79    23    34       12        2     0.10219137E+03  0.10118208E+03  0.50000000E+00  0.10092826E+01  0.20185653E+01  0.60000000E+08     1
    79    23    35       12        2     0.98917227E+02  0.97640698E+02  0.50000000E+00  0.12765288E+01  0.25530576E+01  0.60000000E+08     1
    79    23    36       12        2     0.95674138E+02  0.94113242E+02  0.50000000E+00  0.15608963E+01  0.31217927E+01  0.60000000E+08     1
    79    23    37       12        2     0.92458437E+02  0.90597498E+02  0.50000000E+00  0.18609386E+01  0.37218771E+01  0.60000000E+08     1
    79    23    38       12        2     0.89261245E+02  0.87089785E+02  0.50000000E+00  0.21714602E+01  0.43429204E+01  0.60000000E+08     1
    79    23    39        7        2     0.85186685E+02  0.83583770E+02  0.50000000E+00  0.16029148E+01  0.32058296E+01  0.60000000E+08     1
    79    23    40        7        2     0.80242890E+02  0.80068237E+02  0.50000000E+00  0.17465260E+00  0.34930520E+00  0.60000000E+08     1
    79    23    41        7        2     0.75340229E+02  0.76522745E+02  0.50000000E+00 -0.11825156E+01 -0.23650313E+01  0.60000000E+08     1
    79    23    42        7        2     0.70470488E+02  0.72909137E+02  0.50000000E+00 -0.24386492E+01 -0.48772983E+01  0.60000000E+08     1
    79    23    43        7        2     0.65630871E+02  0.68506751E+02  0.50000000E+00 -0.28758795E+01 -0.57517591E+01  0.60000000E+08     1
    79    23    44        7        2     0.60824397E+02  0.64742587E+02  0.50000000E+00 -0.39181904E+01 -0.78363808E+01  0.60000000E+08     1
    79    23    45        9        2     0.57441994E+02  0.61703930E+02  0.50000000E+00 -0.42619368E+01 -0.85238736E+01  0.60000000E+08     1
    79    23    46        8        2     0.54863636E+02  0.57964762E+02  0.50000000E+00 -0.31011260E+01 -0.62022519E+01  0.60000000E+08     1
    79    23    47        7        2     0.51036495E+02  0.53428196E+02  0.50000000E+00 -0.23917009E+01 -0.47834019E+01  0.60000000E+08     1
    79    23    48        7        2     0.46535453E+02  0.48175945E+02  0.50000000E+00 -0.16404913E+01 -0.32809827E+01  0.60000000E+08     1
    79    23    49        7        2     0.41959027E+02  0.42972006E+02  0.50000000E+00 -0.10129791E+01 -0.20259582E+01  0.60000000E+08     1
    79    23    50        7        2     0.37330824E+02  0.37780273E+02  0.50000000E+00 -0.44944905E+00 -0.89889809E+00  0.60000000E+08     1
    79    23    51        7        2     0.32656572E+02  0.32571487E+02  0.50000000E+00  0.85084771E-01  0.17016954E+00  0.60000000E+08     1
    79    23    52        7        2     0.27930663E+02  0.27557691E+02  0.50000000E+00  0.37297215E+00  0.74594430E+00  0.60000000E+08     1
    79    23    53        6        2     0.23360046E+02  0.22740615E+02  0.50000000E+00  0.61943151E+00  0.12388630E+01  0.60000000E+08     1
    79    23    54        6        2     0.18955688E+02  0.17889341E+02  0.50000000E+00  0.10663465E+01  0.21326930E+01  0.60000000E+08     1
    54    35    18       12        2     0.15066667E+03  0.16379233E+03  0.50000000E+00 -0.13125663E+02 -0.26251325E+02  0.60000000E+08     1
    54    35    19       12        2     0.14692054E+03  0.16005174E+03  0.50000000E+00 -0.13131199E+02 -0.26262397E+02  0.60000000E+08     1
    54    35    20       12        2     0.14319328E+03  0.15630407E+03  0.50000000E+00 -0.13110790E+02 -0.26221579E+02  0.60000000E+08     1
    54    35    21       11        2     0.13945285E+03  0.15255215E+03  0.50000000E+00 -0.13099292E+02 -0.26198584E+02  0.60000000E+08     1
    54    35    22       11        2     0.13569887E+03  0.14882833E+03  0.50000000E+00 -0.13129461E+02 -0.26258923E+02  0.60000000E+08     1
    54    35    23       11        2     0.13196234E+03  0.14512802E+03  0.50000000E+00 -0.13165684E+02 -0.26331369E+02  0.60000000E+08     1
    54    35    24       11        2     0.12823857E+03  0.14145250E+03  0.50000000E+00 -0.13213924E+02 -0.26427847E+02  0.60000000E+08     1
    54    35    25       11        2     0.12452930E+03  0.13780218E+03  0.50000000E+00 -0.13272882E+02 -0.26545763E+02  0.60000000E+08     1
    54    35    26       11        2     0.12083589E+03  0.13417776E+03  0.50000000E+00 -0.13341865E+02 -0.26683730E+02  0.60000000E+08     1
    54    35    27       11        2     0.11715984E+03  0.13058006E+03  0.50000000E+00 -0.13420220E+02 -0.26840441E+02  0.60000000E+08     1
    54    35    28       11        2     0.11350288E+03  0.12701003E+03  0.50000000E+00 -0.13507148E+02 -0.27014295E+02  0.60000000E+08     1
    54    35    29       11        2     0.10986706E+03  0.12346885E+03  0.50000000E+00 -0.13601798E+02 -0.27203595E+02  0.60000000E+08     1
    54    35    30       11        2     0.10625452E+03  0.11995803E+03  0.50000000E+00 -0.13703509E+02 -0.27407017E+02  0.60000000E+08     1
    54    35    31       11        2     0.10266744E+03  0.11647959E+03  0.50000000E+00 -0.13812142E+02 -0.27624284E+02  0.60000000E+08     1
    54    35    32       11        2     0.99107794E+02  0.11303626E+03  0.50000000E+00 -0.13928465E+02 -0.27856929E+02  0.60000000E+08     1
    54    35    33       11        2     0.95577242E+02  0.10963170E+03  0.50000000E+00 -0.14054455E+02 -0.28108909E+02  0.60000000E+08     1
    54    35    34       11        2     0.92077163E+02  0.10627044E+03  0.50000000E+00 -0.14193274E+02 -0.28386547E+02  0.60000000E+08     1
    54    35    35       11        2     0.88608839E+02  0.10295704E+03  0.50000000E+00 -0.14348199E+02 -0.28696398E+02  0.60000000E+08     1
    54    35    36       11        2     0.85173789E+02  0.98804323E+02  0.50000000E+00 -0.13630534E+02 -0.27261068E+02  0.60000000E+08     1
    54    35    37       11        2     0.81773441E+02  0.93801123E+02  0.50000000E+00 -0.12027682E+02 -0.24055363E+02  0.60000000E+08     1
    54    35    38       11        2     0.78407206E+02  0.88818554E+02  0.50000000E+00 -0.10411348E+02 -0.20822696E+02  0.60000000E+08     1
    54    35    39       11        2     0.75065736E+02  0.83852054E+02  0.50000000E+00 -0.87863184E+01 -0.17572637E+02  0.60000000E+08     1
    54    35    40       11        2     0.71712912E+02  0.78904814E+02  0.50000000E+00 -0.71919015E+01 -0.14383803E+02  0.60000000E+08     1
    54    35    41       10        2     0.67680960E+02  0.73984686E+02  0.50000000E+00 -0.63037263E+01 -0.12607453E+02  0.60000000E+08     1
    54    35    42        9        2     0.64346320E+02  0.69104925E+02  0.50000000E+00 -0.47586051E+01 -0.95172101E+01  0.60000000E+08     1
    54    35    43        9        2     0.62375471E+02  0.64288775E+02  0.50000000E+00 -0.19133039E+01 -0.38266078E+01  0.60000000E+08     1
    54    35    44        9        2     0.60450549E+02  0.59580391E+02  0.50000000E+00  0.87015858E+00  0.17403172E+01  0.60000000E+08     1
    54    35    45        8        2     0.58053913E+02  0.55068754E+02  0.50000000E+00  0.29851592E+01  0.59703185E+01  0.60000000E+08     1
