% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15510245E+03  0.15145234E+03  0.50000000E+00  0.36501155E+01  0.73002310E+01  0.60000000E+08     1
    32    15    22       12        2     0.15142174E+03  0.14773580E+03  0.50000000E+00  0.36859445E+01  0.73718889E+01  0.60000000E+08     1
    32    15    23       12        2     0.14775118E+03  0.14403725E+03  0.50000000E+00  0.37139270E+01  0.74278539E+01  0.60000000E+08     1
    32    15    24       12        2     0.14408909E+03  0.14035619E+03  0.50000000E+00  0.37329056E+01  0.74658113E+01  0.60000000E+08     1
    32    15    25       12        2     0.14043372E+03  0.13669201E+03  0.50000000E+00  0.37417071E+01  0.74834141E+01  0.60000000E+08     1
    32    15    26       12        2     0.13678326E+03  0.13304408E+03  0.50000000E+00  0.37391794E+01  0.74783588E+01  0.60000000E+08     1
    32    15    27       12        2     0.13313592E+03  0.12941170E+03  0.50000000E+00  0.37242282E+01  0.74484563E+01  0.60000000E+08     1
    32    15    28       12        2     0.12949001E+03  0.12579415E+03  0.50000000E+00  0.36958632E+01  0.73917264E+01  0.60000000E+08     1
    32    15    29       12        2     0.12584403E+03  0.12219071E+03  0.50000000E+00  0.36533255E+01  0.73066510E+01  0.60000000E+08     1
    32    15    30       12        2     0.12219676E+03  0.11860055E+03  0.50000000E+00  0.35962067E+01  0.71924135E+01  0.60000000E+08     1
    32    15    31       12        2     0.11854719E+03  0.11502268E+03  0.50000000E+00  0.35245069E+01  0.70490137E+01  0.60000000E+08     1
    32    15    32       12        2     0.11489451E+03  0.11145585E+03  0.50000000E+00  0.34386568E+01  0.68773135E+01  0.60000000E+08     1
    32    15    33       12        2     0.11123805E+03  0.10789855E+03  0.50000000E+00  0.33394940E+01  0.66789880E+01  0.60000000E+08     1
    32    15    34       12        2     0.10757725E+03  0.10434913E+03  0.50000000E+00  0.32281201E+01  0.64562402E+01  0.60000000E+08     1
    32    15    35       12        2     0.10391177E+03  0.10080633E+03  0.50000000E+00  0.31054458E+01  0.62108915E+01  0.60000000E+08     1
    32    15    36       12        2     0.10024193E+03  0.97269028E+02  0.50000000E+00  0.29729004E+01  0.59458008E+01  0.60000000E+08     1
    32    15    37       12        2     0.96568341E+02  0.93735758E+02  0.50000000E+00  0.28325835E+01  0.56651669E+01  0.60000000E+08     1
    32    15    38       12        2     0.92891183E+02  0.90204327E+02  0.50000000E+00  0.26868563E+01  0.53737126E+01  0.60000000E+08     1
    32    15    39       12        2     0.89209584E+02  0.86671385E+02  0.50000000E+00  0.25381981E+01  0.50763962E+01  0.60000000E+08     1
    32    15    40       12        2     0.85520686E+02  0.83131509E+02  0.50000000E+00  0.23891774E+01  0.47783549E+01  0.60000000E+08     1
    32    15    41       12        2     0.81817759E+02  0.79575263E+02  0.50000000E+00  0.22424956E+01  0.44849913E+01  0.60000000E+08     1
    32    15    42       12        2     0.78086032E+02  0.75984904E+02  0.50000000E+00  0.21011281E+01  0.42022562E+01  0.60000000E+08     1
    32    15    43       12        2     0.74293380E+02  0.72324252E+02  0.50000000E+00  0.19691281E+01  0.39382561E+01  0.60000000E+08     1
    32    15    44       12        2     0.70369132E+02  0.68531442E+02  0.50000000E+00  0.18376899E+01  0.36753799E+01  0.60000000E+08     1
    32    15    45       12        2     0.66378831E+02  0.64669560E+02  0.50000000E+00  0.17092704E+01  0.34185408E+01  0.60000000E+08     1
    32    15    46       12        2     0.62383131E+02  0.60810325E+02  0.50000000E+00  0.15728061E+01  0.31456122E+01  0.60000000E+08     1
    32    15    47       12        2     0.58415646E+02  0.56994213E+02  0.50000000E+00  0.14214328E+01  0.28428656E+01  0.60000000E+08     1
    32    15    48       12        2     0.54493812E+02  0.53259247E+02  0.50000000E+00  0.12345645E+01  0.24691289E+01  0.60000000E+08     1
    32    15    49       12        2     0.50627499E+02  0.49667649E+02  0.50000000E+00  0.95984933E+00  0.19196987E+01  0.60000000E+08     1
    32    15    50       12        2     0.46824513E+02  0.46839711E+02  0.50000000E+00 -0.15197898E-01 -0.30395796E-01  0.60000000E+08     1
    32    15    51       12        2     0.43092910E+02  0.43918630E+02  0.50000000E+00 -0.82571979E+00 -0.16514396E+01  0.60000000E+08     1
    32    15    52       12        2     0.39449381E+02  0.40376437E+02  0.50000000E+00 -0.92705631E+00 -0.18541126E+01  0.60000000E+08     1
    32    15    53       12        2     0.35931890E+02  0.36129785E+02  0.50000000E+00 -0.19789503E+00 -0.39579006E+00  0.60000000E+08     1
    32    15    54        7        2     0.31536206E+02  0.31150589E+02  0.50000000E+00  0.38561708E+00  0.77123417E+00  0.60000000E+08     1
    32    15    55        7        2     0.26353188E+02  0.26234622E+02  0.50000000E+00  0.11856546E+00  0.23713092E+00  0.60000000E+08     1
    32    15    56        7        2     0.21355772E+02  0.21462407E+02  0.50000000E+00 -0.10663451E+00 -0.21326901E+00  0.60000000E+08     1
    32    15    57        7        2     0.16561123E+02  0.17040457E+02  0.50000000E+00 -0.47933393E+00 -0.95866786E+00  0.60000000E+08     1
    79    23    31       12        2     0.11421236E+03  0.11190129E+03  0.50000000E+00  0.23110642E+01  0.46221283E+01  0.60000000E+08     1
    79    23    32       12        2     0.11050507E+03  0.10831165E+03  0.50000000E+00  0.21934177E+01  0.43868354E+01  0.60000000E+08     1
    79    23    33       12        2     0.10680989E+03  0.10473877E+03  0.50000000E+00  0.20711153E+01  0.41422306E+01  0.60000000E+08     1
    79    23    34       12        2     0.10312793E+03  0.10118208E+03  0.50000000E+00  0.19458426E+01  0.38916851E+01  0.60000000E+08     1
    79    23    35       12        2     0.99460419E+02  0.97640698E+02  0.50000000E+00  0.18197208E+01  0.36394416E+01  0.60000000E+08     1
    79    23    36       12        2     0.95808718E+02  0.94113242E+02  0.50000000E+00  0.16954764E+01  0.33909528E+01  0.60000000E+08     1
    79    23    37       12        2     0.92174274E+02  0.90597498E+02  0.50000000E+00  0.15767761E+01  0.31535523E+01  0.60000000E+08     1
    79    23    38       12        2     0.88558681E+02  0.87089785E+02  0.50000000E+00  0.14688966E+01  0.29377933E+01  0.60000000E+08     1
    79    23    39       12        2     0.84963794E+02  0.83583770E+02  0.50000000E+00  0.13800234E+01  0.27600468E+01  0.60000000E+08     1
    79    23    40       12        2     0.81391922E+02  0.80068237E+02  0.50000000E+00  0.13236845E+01  0.26473691E+01  0.60000000E+08     1
    79    23    41       12        2     0.77846020E+02  0.76522745E+02  0.50000000E+00  0.13232753E+01  0.26465506E+01  0.60000000E+08     1
    79    23    42       12        2     0.74329979E+02  0.72909137E+02  0.50000000E+00  0.14208421E+01  0.28416842E+01  0.60000000E+08     1
    79    23    43       12        2     0.70849598E+02  0.68506751E+02  0.50000000E+00  0.23428469E+01  0.46856938E+01  0.60000000E+08     1
    79    23    44       12        2     0.67416121E+02  0.64742587E+02  0.50000000E+00  0.26735342E+01  0.53470683E+01  0.60000000E+08     1
    79    23    45       12        2     0.64044809E+02  0.61703930E+02  0.50000000E+00  0.23408789E+01  0.46817579E+01  0.60000000E+08     1
    79    23    46        8        2     0.60551641E+02  0.57964762E+02  0.50000000E+00  0.25868792E+01  0.51737584E+01  0.60000000E+08     1
    79    23    47        7        2     0.56173337E+02  0.53428196E+02  0.50000000E+00  0.27451409E+01  0.54902818E+01  0.60000000E+08     1
    79    23    48        7        2     0.51017148E+02  0.48175945E+02  0.50000000E+00  0.28412032E+01  0.56824064E+01  0.60000000E+08     1
    79    23    49        7        2     0.45786785E+02  0.42972006E+02  0.50000000E+00  0.28147788E+01  0.56295577E+01  0.60000000E+08     1
    79    23    50        7        2     0.40517752E+02  0.37780273E+02  0.50000000E+00  0.27374785E+01  0.54749570E+01  0.60000000E+08     1
    79    23    51        7        2     0.35217546E+02  0.32571487E+02  0.50000000E+00  0.26460597E+01  0.52921194E+01  0.60000000E+08     1
    79    23    52        7        2     0.29878003E+02  0.27557691E+02  0.50000000E+00  0.23203125E+01  0.46406249E+01  0.60000000E+08     1
    79    23    53        6        2     0.24728375E+02  0.22740615E+02  0.50000000E+00  0.19877598E+01  0.39755195E+01  0.60000000E+08     1
    79    23    54        6        2     0.19777112E+02  0.17889341E+02  0.50000000E+00  0.18877709E+01  0.37755419E+01  0.60000000E+08     1
    54    35    18       12        2     0.16779126E+03  0.16379233E+03  0.50000000E+00  0.39989255E+01  0.79978511E+01  0.60000000E+08     1
    54    35    19       12        2     0.16415615E+03  0.16005174E+03  0.50000000E+00  0.41044128E+01  0.82088255E+01  0.60000000E+08     1
    54    35    20       12        2     0.16054803E+03  0.15630407E+03  0.50000000E+00  0.42439593E+01  0.84879186E+01  0.60000000E+08     1
    54    35    21       11        2     0.15693544E+03  0.15255215E+03  0.50000000E+00  0.43832990E+01  0.87665980E+01  0.60000000E+08     1
    54    35    22       11        2     0.15331601E+03  0.14882833E+03  0.50000000E+00  0.44876741E+01  0.89753481E+01  0.60000000E+08     1
    54    35    23       11        2     0.14972080E+03  0.14512802E+03  0.50000000E+00  0.45927818E+01  0.91855636E+01  0.60000000E+08     1
    54    35    24       11        2     0.14614753E+03  0.14145250E+03  0.50000000E+00  0.46950343E+01  0.93900686E+01  0.60000000E+08     1
    54    35    25       11        2     0.14259480E+03  0.13780218E+03  0.50000000E+00  0.47926206E+01  0.95852412E+01  0.60000000E+08     1
    54    35    26       11        2     0.13906212E+03  0.13417776E+03  0.50000000E+00  0.48843668E+01  0.97687337E+01  0.60000000E+08     1
    54    35    27       11        2     0.13554957E+03  0.13058006E+03  0.50000000E+00  0.49695126E+01  0.99390253E+01  0.60000000E+08     1
