% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15526882E+03  0.15145234E+03  0.50000000E+00  0.38164868E+01  0.76329736E+01  0.60000000E+08     1
    32    15    22       12        2     0.15159582E+03  0.14773580E+03  0.50000000E+00  0.38600214E+01  0.77200428E+01  0.60000000E+08     1
    32    15    23       12        2     0.14793500E+03  0.14403725E+03  0.50000000E+00  0.38977435E+01  0.77954869E+01  0.60000000E+08     1
    32    15    24       12        2     0.14428506E+03  0.14035619E+03  0.50000000E+00  0.39288792E+01  0.78577585E+01  0.60000000E+08     1
    32    15    25       12        2     0.14064458E+03  0.13669201E+03  0.50000000E+00  0.39525626E+01  0.79051252E+01  0.60000000E+08     1
    32    15    26       12        2     0.13701190E+03  0.13304408E+03  0.50000000E+00  0.39678209E+01  0.79356417E+01  0.60000000E+08     1
    32    15    27       12        2     0.13338526E+03  0.12941170E+03  0.50000000E+00  0.39735614E+01  0.79471227E+01  0.60000000E+08     1
    32    15    28       12        2     0.12976273E+03  0.12579415E+03  0.50000000E+00  0.39685791E+01  0.79371582E+01  0.60000000E+08     1
    32    15    29       12        2     0.12614237E+03  0.12219071E+03  0.50000000E+00  0.39516617E+01  0.79033234E+01  0.60000000E+08     1
    32    15    30       12        2     0.12252227E+03  0.11860055E+03  0.50000000E+00  0.39217120E+01  0.78434239E+01  0.60000000E+08     1
    32    15    31       12        2     0.11890052E+03  0.11502268E+03  0.50000000E+00  0.38778348E+01  0.77556696E+01  0.60000000E+08     1
    32    15    32       12        2     0.11527526E+03  0.11145585E+03  0.50000000E+00  0.38194150E+01  0.76388299E+01  0.60000000E+08     1
    32    15    33       12        2     0.11164472E+03  0.10789855E+03  0.50000000E+00  0.37461677E+01  0.74923355E+01  0.60000000E+08     1
    32    15    34       12        2     0.10800721E+03  0.10434913E+03  0.50000000E+00  0.36580794E+01  0.73161589E+01  0.60000000E+08     1
    32    15    35       12        2     0.10436135E+03  0.10080633E+03  0.50000000E+00  0.35550272E+01  0.71100544E+01  0.60000000E+08     1
    32    15    36       12        2     0.10070656E+03  0.97269028E+02  0.50000000E+00  0.34375339E+01  0.68750678E+01  0.60000000E+08     1
    32    15    37       12        2     0.97042727E+02  0.93735758E+02  0.50000000E+00  0.33069691E+01  0.66139382E+01  0.60000000E+08     1
    32    15    38       12        2     0.93369426E+02  0.90204327E+02  0.50000000E+00  0.31650998E+01  0.63301996E+01  0.60000000E+08     1
    32    15    39       12        2     0.89685276E+02  0.86671385E+02  0.50000000E+00  0.30138908E+01  0.60277815E+01  0.60000000E+08     1
    32    15    40       12        2     0.85987014E+02  0.83131509E+02  0.50000000E+00  0.28555050E+01  0.57110100E+01  0.60000000E+08     1
    32    15    41       12        2     0.82268043E+02  0.79575263E+02  0.50000000E+00  0.26927801E+01  0.53855602E+01  0.60000000E+08     1
    32    15    42       12        2     0.78516375E+02  0.75984904E+02  0.50000000E+00  0.25314707E+01  0.50629415E+01  0.60000000E+08     1
    32    15    43       12        2     0.74712774E+02  0.72324252E+02  0.50000000E+00  0.23885227E+01  0.47770453E+01  0.60000000E+08     1
    32    15    44       12        2     0.70795996E+02  0.68531442E+02  0.50000000E+00  0.22645538E+01  0.45291076E+01  0.60000000E+08     1
    32    15    45       12        2     0.66829921E+02  0.64669560E+02  0.50000000E+00  0.21603611E+01  0.43207222E+01  0.60000000E+08     1
    32    15    46       12        2     0.62885804E+02  0.60810325E+02  0.50000000E+00  0.20754796E+01  0.41509592E+01  0.60000000E+08     1
    32    15    47       12        2     0.58997461E+02  0.56994213E+02  0.50000000E+00  0.20032476E+01  0.40064951E+01  0.60000000E+08     1
    32    15    48       12        2     0.55185336E+02  0.53259247E+02  0.50000000E+00  0.19260885E+01  0.38521770E+01  0.60000000E+08     1
    32    15    49       12        2     0.51469818E+02  0.49667649E+02  0.50000000E+00  0.18021687E+01  0.36043374E+01  0.60000000E+08     1
