% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15494726E+03  0.15145234E+03  0.50000000E+00  0.34949243E+01  0.69898486E+01  0.60000000E+08     1
    32    15    22       12        2     0.15124160E+03  0.14773580E+03  0.50000000E+00  0.35058009E+01  0.70116018E+01  0.60000000E+08     1
    32    15    23       12        2     0.14754386E+03  0.14403725E+03  0.50000000E+00  0.35066036E+01  0.70132072E+01  0.60000000E+08     1
    32    15    24       12        2     0.14385299E+03  0.14035619E+03  0.50000000E+00  0.34968025E+01  0.69936049E+01  0.60000000E+08     1
    32    15    25       12        2     0.14016813E+03  0.13669201E+03  0.50000000E+00  0.34761128E+01  0.69522256E+01  0.60000000E+08     1
    32    15    26       12        2     0.13648865E+03  0.13304408E+03  0.50000000E+00  0.34445722E+01  0.68891444E+01  0.60000000E+08     1
    32    15    27       12        2     0.13281428E+03  0.12941170E+03  0.50000000E+00  0.34025836E+01  0.68051672E+01  0.60000000E+08     1
    32    15    28       12        2     0.12914507E+03  0.12579415E+03  0.50000000E+00  0.33509236E+01  0.67018471E+01  0.60000000E+08     1
    32    15    29       12        2     0.12548148E+03  0.12219071E+03  0.50000000E+00  0.32907750E+01  0.65815501E+01  0.60000000E+08     1
    32    15    30       12        2     0.12182425E+03  0.11860055E+03  0.50000000E+00  0.32236985E+01  0.64473970E+01  0.60000000E+08     1
    32    15    31       12        2     0.11817418E+03  0.11502268E+03  0.50000000E+00  0.31514939E+01  0.63029878E+01  0.60000000E+08     1
    32    15    32       12        2     0.11453185E+03  0.11145585E+03  0.50000000E+00  0.30760022E+01  0.61520043E+01  0.60000000E+08     1
    32    15    33       12        2     0.11089742E+03  0.10789855E+03  0.50000000E+00  0.29988643E+01  0.59977286E+01  0.60000000E+08     1
    32    15    34       12        2     0.10727033E+03  0.10434913E+03  0.50000000E+00  0.29211976E+01  0.58423953E+01  0.60000000E+08     1
    32    15    35       12        2     0.10364935E+03  0.10080633E+03  0.50000000E+00  0.28430218E+01  0.56860436E+01  0.60000000E+08     1
    32    15    36       12        2     0.10003295E+03  0.97269028E+02  0.50000000E+00  0.27639238E+01  0.55278476E+01  0.60000000E+08     1
    32    15    37       12        2     0.96419093E+02  0.93735758E+02  0.50000000E+00  0.26833351E+01  0.53666702E+01  0.60000000E+08     1
    32    15    38       12        2     0.92804585E+02  0.90204327E+02  0.50000000E+00  0.26002586E+01  0.52005171E+01  0.60000000E+08     1
    32    15    39       12        2     0.89184725E+02  0.86671385E+02  0.50000000E+00  0.25133393E+01  0.50266785E+01  0.60000000E+08     1
    32    15    40       12        2     0.85552668E+02  0.83131509E+02  0.50000000E+00  0.24211588E+01  0.48423175E+01  0.60000000E+08     1
    32    15    41       12        2     0.81898285E+02  0.79575263E+02  0.50000000E+00  0.23230220E+01  0.46460439E+01  0.60000000E+08     1
    32    15    42       12        2     0.78206626E+02  0.75984904E+02  0.50000000E+00  0.22217221E+01  0.44434441E+01  0.60000000E+08     1
    32    15    43       12        2     0.74456566E+02  0.72324252E+02  0.50000000E+00  0.21323145E+01  0.42646291E+01  0.60000000E+08     1
    32    15    44       12        2     0.70587722E+02  0.68531442E+02  0.50000000E+00  0.20562801E+01  0.41125602E+01  0.60000000E+08     1
    32    15    45       12        2     0.66656366E+02  0.64669560E+02  0.50000000E+00  0.19868060E+01  0.39736119E+01  0.60000000E+08     1
    32    15    46       12        2     0.62737685E+02  0.60810325E+02  0.50000000E+00  0.19273604E+01  0.38547208E+01  0.60000000E+08     1
    32    15    47       12        2     0.58870525E+02  0.56994213E+02  0.50000000E+00  0.18763121E+01  0.37526241E+01  0.60000000E+08     1
    32    15    48       12        2     0.55082464E+02  0.53259247E+02  0.50000000E+00  0.18232166E+01  0.36464333E+01  0.60000000E+08     1
    32    15    49       12        2     0.51405427E+02  0.49667649E+02  0.50000000E+00  0.17377779E+01  0.34755559E+01  0.60000000E+08     1
    32    15    50       12        2     0.47894653E+02  0.46839711E+02  0.50000000E+00  0.10549423E+01  0.21098846E+01  0.60000000E+08     1
    32    15    51        8        2     0.44468145E+02  0.43918630E+02  0.50000000E+00  0.54951519E+00  0.10990304E+01  0.60000000E+08     1
    32    15    52        7        2     0.40235968E+02  0.40376437E+02  0.50000000E+00 -0.14046948E+00 -0.28093896E+00  0.60000000E+08     1
    32    15    53        7        2     0.35371849E+02  0.36129785E+02  0.50000000E+00 -0.75793594E+00 -0.15158719E+01  0.60000000E+08     1
