% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15459287E+03  0.15145234E+03  0.50000000E+00  0.31405284E+01  0.62810567E+01  0.60000000E+08     1
    32    15    22       12        2     0.15087951E+03  0.14773580E+03  0.50000000E+00  0.31437090E+01  0.62874179E+01  0.60000000E+08     1
    32    15    23       12        2     0.14717620E+03  0.14403725E+03  0.50000000E+00  0.31389478E+01  0.62778956E+01  0.60000000E+08     1
    32    15    24       12        2     0.14348164E+03  0.14035619E+03  0.50000000E+00  0.31254578E+01  0.62509156E+01  0.60000000E+08     1
    32    15    25       12        2     0.13979466E+03  0.13669201E+03  0.50000000E+00  0.31026450E+01  0.62052901E+01  0.60000000E+08     1
    32    15    26       12        2     0.13611427E+03  0.13304408E+03  0.50000000E+00  0.30701899E+01  0.61403797E+01  0.60000000E+08     1
    32    15    27       12        2     0.13243979E+03  0.12941170E+03  0.50000000E+00  0.30280980E+01  0.60561961E+01  0.60000000E+08     1
    32    15    28       12        2     0.12877087E+03  0.12579415E+03  0.50000000E+00  0.29767260E+01  0.59534521E+01  0.60000000E+08     1
    32    15    29       12        2     0.12510755E+03  0.12219071E+03  0.50000000E+00  0.29168457E+01  0.58336913E+01  0.60000000E+08     1
    32    15    30       12        2     0.12145022E+03  0.11860055E+03  0.50000000E+00  0.28496665E+01  0.56993330E+01  0.60000000E+08     1
    32    15    31       12        2     0.11779944E+03  0.11502268E+03  0.50000000E+00  0.27767628E+01  0.55535256E+01  0.60000000E+08     1
    32    15    32       12        2     0.11415580E+03  0.11145585E+03  0.50000000E+00  0.26999517E+01  0.53999034E+01  0.60000000E+08     1
    32    15    33       12        2     0.11051969E+03  0.10789855E+03  0.50000000E+00  0.26211351E+01  0.52422703E+01  0.60000000E+08     1
    32    15    34       12        2     0.10689119E+03  0.10434913E+03  0.50000000E+00  0.25420602E+01  0.50841204E+01  0.60000000E+08     1
    32    15    35       12        2     0.10327015E+03  0.10080633E+03  0.50000000E+00  0.24638243E+01  0.49276485E+01  0.60000000E+08     1
    32    15    36       12        2     0.99656643E+02  0.97269028E+02  0.50000000E+00  0.23876144E+01  0.47752287E+01  0.60000000E+08     1
    32    15    37       12        2     0.96050880E+02  0.93735758E+02  0.50000000E+00  0.23151223E+01  0.46302446E+01  0.60000000E+08     1
    32    15    38       12        2     0.92452761E+02  0.90204327E+02  0.50000000E+00  0.22484346E+01  0.44968692E+01  0.60000000E+08     1
    32    15    39       12        2     0.88861774E+02  0.86671385E+02  0.50000000E+00  0.21903883E+01  0.43807765E+01  0.60000000E+08     1
    32    15    40       12        2     0.85276897E+02  0.83131509E+02  0.50000000E+00  0.21453876E+01  0.42907752E+01  0.60000000E+08     1
    32    15    41       12        2     0.81696329E+02  0.79575263E+02  0.50000000E+00  0.21210659E+01  0.42421317E+01  0.60000000E+08     1
    32    15    42       12        2     0.78116839E+02  0.75984904E+02  0.50000000E+00  0.21319351E+01  0.42638703E+01  0.60000000E+08     1
    32    15    43       12        2     0.74532422E+02  0.72324252E+02  0.50000000E+00  0.22081705E+01  0.44163410E+01  0.60000000E+08     1
    32    15    44       12        2     0.70931661E+02  0.68531442E+02  0.50000000E+00  0.24002192E+01  0.48004385E+01  0.60000000E+08     1
    32    15    45       12        2     0.67302857E+02  0.64669560E+02  0.50000000E+00  0.26332972E+01  0.52665945E+01  0.60000000E+08     1
    32    15    46       12        2     0.63622879E+02  0.60810325E+02  0.50000000E+00  0.28125544E+01  0.56251087E+01  0.60000000E+08     1
    32    15    47       12        2     0.59832947E+02  0.56994213E+02  0.50000000E+00  0.28387340E+01  0.56774679E+01  0.60000000E+08     1
    32    15    48       12        2     0.55978656E+02  0.53259247E+02  0.50000000E+00  0.27194087E+01  0.54388175E+01  0.60000000E+08     1
    32    15    49       12        2     0.52131304E+02  0.49667649E+02  0.50000000E+00  0.24636543E+01  0.49273086E+01  0.60000000E+08     1
    32    15    50       12        2     0.48341598E+02  0.46839711E+02  0.50000000E+00  0.15018870E+01  0.30037739E+01  0.60000000E+08     1
    32    15    51       12        2     0.44646648E+02  0.43918630E+02  0.50000000E+00  0.72801842E+00  0.14560368E+01  0.60000000E+08     1
    32    15    52       12        2     0.41095030E+02  0.40376437E+02  0.50000000E+00  0.71859238E+00  0.14371848E+01  0.60000000E+08     1
    32    15    53        7        2     0.36710462E+02  0.36129785E+02  0.50000000E+00  0.58067754E+00  0.11613551E+01  0.60000000E+08     1
    32    15    54        7        2     0.31458452E+02  0.31150589E+02  0.50000000E+00  0.30786303E+00  0.61572606E+00  0.60000000E+08     1
    32    15    55        7        2     0.26339379E+02  0.26234622E+02  0.50000000E+00  0.10475608E+00  0.20951216E+00  0.60000000E+08     1
    32    15    56        7        2     0.21351679E+02  0.21462407E+02  0.50000000E+00 -0.11072783E+00 -0.22145567E+00  0.60000000E+08     1
    32    15    57        7        2     0.16552037E+02  0.17040457E+02  0.50000000E+00 -0.48841977E+00 -0.97683953E+00  0.60000000E+08     1
    79    23    31       12        2     0.11396097E+03  0.11190129E+03  0.50000000E+00  0.20596778E+01  0.41193556E+01  0.60000000E+08     1
    79    23    32       12        2     0.11024676E+03  0.10831165E+03  0.50000000E+00  0.19351129E+01  0.38702259E+01  0.60000000E+08     1
    79    23    33       12        2     0.10654604E+03  0.10473877E+03  0.50000000E+00  0.18072660E+01  0.36145320E+01  0.60000000E+08     1
    79    23    34       12        2     0.10285964E+03  0.10118208E+03  0.50000000E+00  0.16775539E+01  0.33551078E+01  0.60000000E+08     1
    79    23    35       12        2     0.99188294E+02  0.97640698E+02  0.50000000E+00  0.15475965E+01  0.30951930E+01  0.60000000E+08     1
    79    23    36       12        2     0.95532645E+02  0.94113242E+02  0.50000000E+00  0.14194038E+01  0.28388077E+01  0.60000000E+08     1
    79    23    37       12        2     0.91893197E+02  0.90597498E+02  0.50000000E+00  0.12956985E+01  0.25913969E+01  0.60000000E+08     1
    79    23    38       12        2     0.88270244E+02  0.87089785E+02  0.50000000E+00  0.11804595E+01  0.23609189E+01  0.60000000E+08     1
    79    23    39       12        2     0.84663619E+02  0.83583770E+02  0.50000000E+00  0.10798484E+01  0.21596967E+01  0.60000000E+08     1
    79    23    40       12        2     0.81071911E+02  0.80068237E+02  0.50000000E+00  0.10036736E+01  0.20073472E+01  0.60000000E+08     1
    79    23    41       12        2     0.77490430E+02  0.76522745E+02  0.50000000E+00  0.96768555E+00  0.19353711E+01  0.60000000E+08     1
    79    23    42       12        2     0.73907211E+02  0.72909137E+02  0.50000000E+00  0.99807467E+00  0.19961493E+01  0.60000000E+08     1
    79    23    43       12        2     0.70298062E+02  0.68506751E+02  0.50000000E+00  0.17913110E+01  0.35826219E+01  0.60000000E+08     1
    79    23    44       12        2     0.66621017E+02  0.64742587E+02  0.50000000E+00  0.18784293E+01  0.37568587E+01  0.60000000E+08     1
    79    23    45        9        2     0.63589715E+02  0.61703930E+02  0.50000000E+00  0.18857848E+01  0.37715695E+01  0.60000000E+08     1
    79    23    46        8        2     0.60541010E+02  0.57964762E+02  0.50000000E+00  0.25762481E+01  0.51524963E+01  0.60000000E+08     1
    79    23    47        7        2     0.56103798E+02  0.53428196E+02  0.50000000E+00  0.26756014E+01  0.53512027E+01  0.60000000E+08     1
    79    23    48        7        2     0.50922686E+02  0.48175945E+02  0.50000000E+00  0.27467407E+01  0.54934814E+01  0.60000000E+08     1
    79    23    49        7        2     0.45687443E+02  0.42972006E+02  0.50000000E+00  0.27154363E+01  0.54308725E+01  0.60000000E+08     1
