% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.14920890E+03  0.15145234E+03  0.50000000E+00 -0.22434355E+01 -0.44868711E+01  0.60000000E+08     1
    32    15    22       12        2     0.14559217E+03  0.14773580E+03  0.50000000E+00 -0.21436319E+01 -0.42872639E+01  0.60000000E+08     1
    32    15    23       12        2     0.14199198E+03  0.14403725E+03  0.50000000E+00 -0.20452774E+01 -0.40905547E+01  0.60000000E+08     1
    32    15    24       12        2     0.13840797E+03  0.14035619E+03  0.50000000E+00 -0.19482119E+01 -0.38964237E+01  0.60000000E+08     1
    32    15    25       12        2     0.13483974E+03  0.13669201E+03  0.50000000E+00 -0.18522752E+01 -0.37045504E+01  0.60000000E+08     1
    32    15    26       12        2     0.13128673E+03  0.13304408E+03  0.50000000E+00 -0.17573496E+01 -0.35146992E+01  0.60000000E+08     1
    32    15    27       12        2     0.12774828E+03  0.12941170E+03  0.50000000E+00 -0.16634162E+01 -0.33268323E+01  0.60000000E+08     1
    32    15    28       12        2     0.12422355E+03  0.12579415E+03  0.50000000E+00 -0.15705943E+01 -0.31411885E+01  0.60000000E+08     1
    32    15    29       12        2     0.12071163E+03  0.12219071E+03  0.50000000E+00 -0.14790799E+01 -0.29581597E+01  0.60000000E+08     1
    32    15    30       12        2     0.11721149E+03  0.11860055E+03  0.50000000E+00 -0.13890615E+01 -0.27781230E+01  0.60000000E+08     1
    32    15    31       12        2     0.11372200E+03  0.11502268E+03  0.50000000E+00 -0.13006808E+01 -0.26013616E+01  0.60000000E+08     1
    32    15    32       12        2     0.11024183E+03  0.11145585E+03  0.50000000E+00 -0.12140182E+01 -0.24280364E+01  0.60000000E+08     1
    32    15    33       12        2     0.10676943E+03  0.10789855E+03  0.50000000E+00 -0.11291198E+01 -0.22582397E+01  0.60000000E+08     1
    32    15    34       12        2     0.10330300E+03  0.10434913E+03  0.50000000E+00 -0.10461364E+01 -0.20922729E+01  0.60000000E+08     1
    32    15    35       12        2     0.99840559E+02  0.10080633E+03  0.50000000E+00 -0.96576680E+00 -0.19315336E+01  0.60000000E+08     1
    32    15    36       12        2     0.96380487E+02  0.97269028E+02  0.50000000E+00 -0.88854181E+00 -0.17770836E+01  0.60000000E+08     1
    32    15    37       12        2     0.92921275E+02  0.93735758E+02  0.50000000E+00 -0.81448281E+00 -0.16289656E+01  0.60000000E+08     1
    32    15    38       12        2     0.89460916E+02  0.90204327E+02  0.50000000E+00 -0.74341087E+00 -0.14868217E+01  0.60000000E+08     1
    32    15    39       12        2     0.85996387E+02  0.86671385E+02  0.50000000E+00 -0.67499866E+00 -0.13499973E+01  0.60000000E+08     1
