X,Y,Z,formation,IsFault
27672.25455,9200,-1769.99991,Unconformity,FALSE
21019.31338,9200,-1041.42848,Unconformity,FALSE
21644.80357,9200,115.71437,Tertiary,FALSE
24203.6271,9200,-334.28563,Tertiary,FALSE
26591.8624,9200,-569.99991,Tertiary,FALSE
28468.33299,9200,-848.57134,Tertiary,FALSE
9709.60363,9200,-122.74089,Orange,FALSE
13678.39114,9200,-461.59632,Orange,FALSE
16602.76089,9200,-551.95776,Orange,FALSE
17473.10903,9200,329.06633,Orange,FALSE
19178.99245,9200,-461.59632,Orange,FALSE
20327.85199,9200,-280.87343,Orange,FALSE
25375.8712,9200,-1229.66861,Orange,FALSE
9883.67326,9200,148.34344,Pink,FALSE
13678.39114,9200,-190.51198,Pink,FALSE
16498.31912,9200,-280.87343,Pink,FALSE
17681.99365,9200,487.19886,Pink,FALSE
19178.99245,9200,-213.10234,Pink,FALSE
20049.34059,9200,216.11453,Pink,FALSE
25375.8712,9200,-1026.35535,Pink,FALSE
16602.76089,9200,645.33139,Thrust1_south,TRUE
17194.59763,9200,-190.51198,Thrust1_south,TRUE
19004.92282,9200,-868.22282,Thrust1_south,TRUE
19353.06207,9200,419.42778,Thrust2_south,TRUE
20014.52666,9200,-303.46379,Thrust2_south,TRUE
21581.15331,9200,-958.58427,Thrust2_south,TRUE
26768.42822,9200,-1636.29546,Thrust2_south,TRUE
